9/26/2020,11 21 27 36 62 24,3
9/30/2020,14 18 36 49 67 18,2
10/3/2020,18 31 36 43 47 20,2
10/7/2020,06 24 30 53 56 19,2
10/10/2020,05 18 23 40 50 18,3
10/14/2020,21 37 52 53 58 05,2
10/17/2020,06 10 31 37 44 23,2
10/21/2020,01 03 13 44 56 26,3
10/24/2020,18 20 27 45 65 06,2
10/28/2020,11 28 37 40 53 13,2
10/31/2020,02 06 40 42 55 24,3
11/4/2020,23 32 33 45 49 14,2
11/7/2020,14 16 37 48 58 18,2
11/11/2020,13 15 17 45 63 13,2
11/14/2020,07 15 18 32 45 20,2
11/18/2020,04 05 17 43 52 05,2
11/21/2020,51 54 57 60 69 11,2
11/25/2020,02 57 58 60 65 26,2
11/28/2020,08 12 18 44 51 18,2
